ncbi	display_name	scientific_name	id	version	datasources
79923	Clonorchis sinensis	Clonorchis sinensis (PRJNA386618)	clsineprjna386618	CSKR.v2 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	
7950	Clupea harengus	Atlantic herring	charengus	Ch_v2.0.2	GO:MF, GO:CC, GO:BP, HP	
252671	Clytia hemisphaerica	Clytia hemisphaerica (Z4C2)	chgca902728285	GCA902728285v1	GO:MF, GO:CC, GO:BP	
49390	Coffea canephora	Coffea canephora	ccanephora	AUK_PRJEB4211_v1	GO:MF, GO:CC, GO:BP	
1213859	Colletotrichum fructicola Nara gc5	Colletotrichum gloeosporioides	cgloeosporioides	Colletotrichum gloeosporioides Nara gc-5	GO:MF, GO:CC, GO:BP	
645133	Colletotrichum graminicola M1.001	Colletotrichum graminicola	cgraminicola	C_graminicola_M1_001_V1	GO:MF, GO:CC, GO:BP	
80884	Colletotrichum higginsianum	Colletotrichum higginsianum	chigginsianum	ASM31379v2	GO:MF, GO:CC, GO:BP	
1213857	Colletotrichum orbiculare MAFF 240422	Colletotrichum orbiculare	corbiculare	Corbiculare240422v01	GO:MF, GO:CC, GO:BP	
29053	Copidosoma floridanum	Copidosoma floridanum (CFLO.00-Male) - GCA_000648655.2	cfgca000648655v2	Cflo_2.0	GO:MF, GO:CC, GO:BP	
210143	Corchorus capsularis	Corchorus capsularis	ccapsularis	CCACVL1_1.0	GO:MF, GO:CC, GO:BP	
13451	Corylus avellana	Corylus avellana	cavellana	CavTom2PMs-1.0	GO:MF, GO:CC, GO:BP	
360336	Corymbia citriodora subsp. variegata	Corymbia citriodora	ccitriodora	Ccitriodora_v2_1	GO:MF, GO:CC, GO:BP	
32391	Cotesia glomerata	Cotesia glomerata (CgM1) - GCA_020080835.1	cggca020080835v1	MPM_Cglom_v2.3	GO:MF, GO:CC, GO:BP	
56716	Cottoperca gobio	Channel bull blenny	cgobio	fCotGob3.1	GO:MF, GO:CC, GO:BP, HP	
93934	Coturnix japonica	Japanese quail	cjaponica	Coturnix_japonica_2.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
29159	Crassostrea gigas	Crassostrea gigas (Pacific oyster) - GCA_902806645.1	cgigas	GCA902806645v1	GO:MF, GO:CC, GO:BP, KEGG	
6565	Crassostrea virginica	Crassostrea virginica (RU13XGHG1-28) - GCA_002022765.4	cvgca002022765v4	C_virginica_3.0	GO:MF, GO:CC, GO:BP	
10029	Cricetulus griseus	Chinese hamster CHOK1GS	cgchok1gshd	CHOK1GS_HDv1	GO:MF, GO:CC, GO:BP, KEGG, HP	
8502	Crocodylus porosus	Australian saltwater crocodile	cporosus	CroPor_comp1	GO:MF, GO:CC, GO:BP, HP	
214684	Cryptococcus neoformans var. neoformans JEC21	Cryptococcus neoformans var. neoformans JEC21	cneoformans	ASM9104v1	GO:MF, GO:CC, GO:BP, KEGG	
3656	Cucumis melo	Cucumis melo	cmelo	Melonv4	GO:MF, GO:CC, GO:BP, KEGG	
3659	Cucumis sativus	Cucumis sativus	csativus	ASM407v2	GO:MF, GO:CC, GO:BP, KEGG	
7176	Culex quinquefasciatus	Culex quinquefasciatus	cquinquefasciatus	CpipJ2	GO:MF, GO:CC, GO:BP, KEGG	
7176	Culex quinquefasciatus	Culex quinquefasciatus (JHB)	cqgca015732765v1	VPISU_Cqui_1.0_pri_paternal	GO:MF, GO:CC, GO:BP	
179676	Culicoides sonorensis	Culicoides sonorensis	csonorensis	Cson1	GO:MF, GO:CC, GO:BP	
280699	Cyanidioschyzon merolae strain 10D	Cyanidioschyzon merolae	cmerolae	ASM9120v1	GO:MF, GO:CC, GO:BP, KEGG	
8103	Cyclopterus lumpus	Lumpfish	clumpus	fCycLum1.pri	GO:MF, GO:CC, GO:BP, HP	
71465	Cylicostephanus goldi	Cylicostephanus goldi (PRJEB498)	cygoldprjeb498	C_goldi_Cheshire_0011 (2014-06-WormBase)	GO:MF, GO:CC, GO:BP	
59895	Cynara cardunculus var. scolymus	Cynara cardunculus	ccardunculus	CcrdV1	GO:MF, GO:CC, GO:BP, KEGG	
244447	Cynoglossus semilaevis	Tongue sole	csemilaevis	Cse_v1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
28743	Cyprinodon variegatus	Sheepshead minnow	cvariegatus	C_variegatus-1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
7962	Cyprinus carpio	Common carp	ccarpio	common_carp_genome	GO:MF, GO:CC, GO:BP, KEGG	
630221	Cyprinus carpio carpio	Common carp	cccarpio	Cypcar_WagV4.0	GO:MF, GO:CC, GO:BP, HP	
278856	Danaus plexippus plexippus	Danaus plexippus plexippus (F-2)	dplexippus	Dplex_v4	GO:MF, GO:CC, GO:BP	
7955	Danio rerio	Zebrafish	drerio	GRCz11	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP	
35525	Daphnia magna	Daphnia magna	dmagna	daphmag2.4	GO:MF, GO:CC, GO:BP	
6669	Daphnia pulex	Daphnia pulex	dpulex	V1.0	GO:MF, GO:CC, GO:BP, KEGG	
9361	Dasypus novemcinctus	Armadillo	dnovemcinctus	Dasnov3.0	GO:MF, GO:CC, GO:BP, HP	
79200	Daucus carota subsp. sativus	Daucus carota	dcarota	ASM162521v1	GO:MF, GO:CC, GO:BP, KEGG	
9749	Delphinapterus leucas	Beluga whale	dleucas	ASM228892v3	GO:MF, GO:CC, GO:BP, HP	
77166	Dendroctonus ponderosae	Dendroctonus ponderosae (Mountain pine beetle) - GCA_000355655.1	dpgca000355655v1	DendPond_male_1.0	GO:MF, GO:CC, GO:BP	
151771	Dendronephthya gigantea	Dendronephthya gigantea (DGI-Jeju-01) - GCA_004324835.1	dggca004324835v1	DenGig_1.0	GO:MF, GO:CC, GO:BP	
299321	Denticeps clupeoides	Denticle herring	dclupeoides	fDenClu1.1	GO:MF, GO:CC, GO:BP, HP	
543639	Dermacentor silvarum	Dermacentor silvarum (Dsil-2018)	dsgca013339745v1	GCA013339745v1	GO:MF, GO:CC, GO:BP	
6956	Dermatophagoides pteronyssinus	Dermatophagoides pteronyssinus (airmid) - GCA_001901225.2	dpgca001901225v2	GCA001901225v2	GO:MF, GO:CC, GO:BP	
50390	Diabrotica virgifera virgifera	Diabrotica virgifera virgifera (Ped12-6-A-3) - GCA_003013835.2	dvgca003013835v2	Dvir_v2.0	GO:MF, GO:CC, GO:BP	
60516	Dibothriocephalus latus	Dibothriocephalus latus (PRJEB1206)	dilatuprjeb1206	D_latum_Geneva_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
13489	Dicentrarchus labrax	European seabass	dlabrax	dlabrax2021	GO:MF, GO:CC, GO:BP, HP	
29172	Dictyocaulus viviparus	Dictyocaulus viviparus (PRJEB5116)	diviviprjeb5116	nDv.1.0 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	
29172	Dictyocaulus viviparus	Dictyocaulus viviparus (PRJNA72587)	diviviprjna72587	D_viviparus_9.2.1.ec.pg (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	
352472	Dictyostelium discoideum AX4	Dictyostelium discoideum	ddiscoideum	dicty_2.7	GO:MF, GO:CC, GO:BP, KEGG, REAC	
1965070	Dinothrombium tinctorium	Dinothrombium tinctorium	dtinctorium	DtinU1	GO:MF, GO:CC, GO:BP	
55577	Dioscorea cayenensis subsp. rotundata	Dioscorea rotundata	drotundata	TDr96_F1_v2_PseudoChromosome	GO:MF, GO:CC, GO:BP	
288516	Diploscapter coronatus	Diploscapter coronatus (PRJDB3143)	dicoroprjdb3143	ASM220778v1 (2018-02-WormBase)	GO:MF, GO:CC, GO:BP	
2018661	Diploscapter pachys	Diploscapter pachys (PRJNA280107)	dipachprjna280107	DipSp1Ass11Ann3 (2018-01-WormBase)	GO:MF, GO:CC, GO:BP	
10020	Dipodomys ordii	Kangaroo rat	dordii	Dord_2.0	GO:MF, GO:CC, GO:BP, HP	
6287	Dirofilaria immitis	Dirofilaria immitis (PRJEB1797)	diimmiprjeb1797	nDi.2.2 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	
166010	Ditylenchus destructor	Ditylenchus destructor (PRJNA312427)	didestprjna312427	ASM157970v1 (2017-01-WormBase)	GO:MF, GO:CC, GO:BP	
166011	Ditylenchus dipsaci	Ditylenchus dipsaci (PRJNA498219)	didipsprjna498219	D.dipsaci.v1.0 (2019-05-WormBase)	GO:MF, GO:CC, GO:BP	
143948	Diuraphis noxia	Diuraphis noxia (RWA2) - GCA_001186385.1	dngca001186385v1	Dnoxia_1.0	GO:MF, GO:CC, GO:BP	
675120	Dothistroma septosporum NZE10	Dothistroma septosporum	dseptosporum	Dothistroma septosporum NZE10 v1.0	GO:MF, GO:CC, GO:BP	
318479	Dracunculus medinensis	Dracunculus medinensis (PRJEB500)	drmediprjeb500	D_medinensis_Ghana_v2_0_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
7217	Drosophila ananassae	Drosophila ananassae (TSC#14024-0371.13)	dananassae	dana_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7220	Drosophila erecta	Drosophila erecta (TSC#14021-0224.01)	derecta	dere_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7222	Drosophila grimshawi	Drosophila grimshawi (TSC#15287-2541.00)	dgrimshawi	dgri_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7227	Drosophila melanogaster	Drosophila melanogaster	dmelanogaster	BDGP6.32	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	
7230	Drosophila mojavensis	Drosophila mojavensis (TSC#15081-1352.22)	dmojavensis	dmoj_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7234	Drosophila persimilis	Drosophila persimilis (MSH-3)	dpersimilis	dper_caf1	GO:MF, GO:CC, GO:BP, KEGG	
46245	Drosophila pseudoobscura pseudoobscura	Drosophila pseudoobscura pseudoobscura (MV2-25)	dpseudoobscura	Dpse_3.0	GO:MF, GO:CC, GO:BP, KEGG	
7238	Drosophila sechellia	Drosophila sechellia (Rob3c)	dsechellia	dsec_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7240	Drosophila simulans	Drosophila simulans (w501)	dsimulans	ASM75419v3	GO:MF, GO:CC, GO:BP, KEGG	
7244	Drosophila virilis	Drosophila virilis (TSC#15010-1051.87)	dvirilis	dvir_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7260	Drosophila willistoni	Drosophila willistoni (TSC#14030-0811.24)	dwillistoni	dwil_caf1	GO:MF, GO:CC, GO:BP, KEGG	
7245	Drosophila yakuba	Drosophila yakuba (Tai18E2)	dyakuba	dyak_caf1	GO:MF, GO:CC, GO:BP, KEGG	
519352	Echinococcus canadensis	Echinococcus canadensis (PRJEB8992)	eccanaprjeb8992	ECANG7 (2017-05-WormBase)	GO:MF, GO:CC, GO:BP	
6210	Echinococcus granulosus	Echinococcus granulosus (PRJEB121)	ecgranprjeb121	EGRAN001 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP, KEGG	
6210	Echinococcus granulosus	Echinococcus granulosus (PRJNA182977)	ecgranprjna182977	ASM52419v1 (2016-04-WormBase)	GO:MF, GO:CC, GO:BP, KEGG	
6211	Echinococcus multilocularis	Echinococcus multilocularis (PRJEB122)	ecmultprjeb122	EMULTI002 (2015-12-WormBase)	GO:MF, GO:CC, GO:BP	
6212	Echinococcus oligarthrus	Echinococcus oligarthrus (PRJEB31222)	ecoligprjeb31222	v2 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	
9371	Echinops telfairi	Lesser hedgehog tenrec	etelfairi	TENREC	GO:MF, GO:CC, GO:BP, HP	
27848	Echinostoma caproni	Echinostoma caproni (PRJEB1207)	eccaprprjeb1207	E_caproni_Egypt_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
1147741	Elaeophora elaphi	Elaeophora elaphi (PRJEB502)	elelapprjeb502	E_elaphi_v1_0_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
8005	Electrophorus electricus	Electric eel	eelectricus	Ee_SOAP_WITH_SSPACE	GO:MF, GO:CC, GO:BP, KEGG, HP	
280463	Emiliania huxleyi CCMP1516	Emiliania huxleyi	ehuxleyi	Emiliana huxleyi CCMP1516 main genome assembly v1.0	GO:MF, GO:CC, GO:BP, KEGG	
294381	Entamoeba histolytica HM-1:IMSS	Entamoeba histolytica	ehistolytica	JCVI-ESG2-1.0	GO:MF, GO:CC, GO:BP, KEGG	
51028	Enterobius vermicularis	Enterobius vermicularis (PRJEB503)	envermprjeb503	E_vermicularis_Canary_Islands_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
7764	Eptatretus burgeri	Hagfish	eburgeri	Eburgeri_3.2	GO:MF, GO:CC, GO:BP, HP	
83772	Equus asinus asinus	Donkey	eaasinus	ASM303372v1	GO:MF, GO:CC, GO:BP, HP	
9796	Equus caballus	Horse	ecaballus	EquCab3.0	GO:MF, GO:CC, GO:BP, KEGG, HP, WP	
38414	Eragrostis curvula	Eragrostis curvula	ecurvula	CERZOS_E.curvula1.0	GO:MF, GO:CC, GO:BP	
110835	Eragrostis tef	Eragrostis tef	etef	ASM97063v1	GO:MF, GO:CC, GO:BP	
284811	Eremothecium gossypii ATCC 10895	Ashbya gossypii	agossypii	ASM9102v1	GO:MF, GO:CC, GO:BP, KEGG	
9365	Erinaceus europaeus	Hedgehog	eeuropaeus	eriEur1	GO:MF, GO:CC, GO:BP, HP	
27687	Erpetoichthys calabaricus	Reedfish	ecalabaricus	fErpCal1.1	GO:MF, GO:CC, GO:BP, HP	
8010	Esox lucius	Northern pike	elucius	Eluc_v4	GO:MF, GO:CC, GO:BP, KEGG, HP	
71139	Eucalyptus grandis	Eucalyptus grandis	egrandis	Egrandis1_0	GO:MF, GO:CC, GO:BP	
72664	Eutrema salsugineum	Eutrema salsugineum	esalsugineum	Eutsalg1_0	GO:MF, GO:CC, GO:BP	
46835	Fasciola gigantica	Fasciola gigantica (PRJNA230515)	fagigaprjna230515	F_gigantica_1.0.allpaths (2020-02-WormBase)	GO:MF, GO:CC, GO:BP	
6192	Fasciola hepatica	Fasciola hepatica (PRJEB25283)	fahepaprjeb25283	Fasciola_10x_pilon (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	
6192	Fasciola hepatica	Fasciola hepatica (PRJNA179522)	fahepaprjna179522	F_hepatica_1.0.allpaths.pg (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	
27845	Fasciolopsis buski	Fasciolopsis buski (PRJNA284521)	fabuskprjna284521	F_buski_1.0.allpaths-lg (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	
9685	Felis catus	Cat	fcatus	Felis_catus_9.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
59894	Ficedula albicollis	Collared flycatcher	falbicollis	FicAlb1.5	GO:MF, GO:CC, GO:BP, KEGG, HP	
3494	Ficus carica	Ficus carica	fcarica	UNIPI_FiCari_1.0	GO:MF, GO:CC, GO:BP	
158441	Folsomia candida	Folsomia candida str. VU population	fcandida	ASM221717v1	GO:MF, GO:CC, GO:BP, KEGG	
8078	Fundulus heteroclitus	Mummichog	fheteroclitus	Fundulus_heteroclitus-3.0.2	GO:MF, GO:CC, GO:BP, HP	
1318462	Fusarium culmorum CS7071	Fusarium culmorum UK99	fculmorum	EF 1	GO:MF, GO:CC, GO:BP	
5127	Fusarium fujikuroi	Fusarium fujikuroi	ffujikuroi	EF 1	GO:MF, GO:CC, GO:BP	
5518	Fusarium graminearum	Fusarium graminearum str. PH-1	fgraminearum	RR1	GO:MF, GO:CC, GO:BP	
426428	Fusarium oxysporum f. sp. lycopersici 4287	Fusarium oxysporum	foxysporum	FO2	GO:MF, GO:CC, GO:BP, KEGG	
1028729	Fusarium pseudograminearum CS3096	Fusarium pseudograminearum	fpseudograminearum	FP7	GO:MF, GO:CC, GO:BP, KEGG	
660122	Fusarium vanettenii 77-13-4	Fusarium solani	fsolani	v2.0	GO:MF, GO:CC, GO:BP, KEGG	
334819	Fusarium verticillioides 7600	Fusarium verticillioides	fverticillioides	ASM14955v1	GO:MF, GO:CC, GO:BP, KEGG	
8049	Gadus morhua	Atlantic cod	gmorhua	gadMor3.0	GO:MF, GO:CC, GO:BP, HP	
644352	Gaeumannomyces tritici R3-111a-1	Gaeumannomyces tritici R3-111a-1	ggraminis	Gae_graminis_V2	GO:MF, GO:CC, GO:BP	
130081	Galdieria sulphuraria	Galdieria sulphuraria	gsulphuraria	ASM34128v1	GO:MF, GO:CC, GO:BP, KEGG	
34638	Galendromus occidentalis	Metaseiulus occidentalis (Western predatory mite) - GCA_000255335.1	mogca000255335v1	Mocc_1.0	GO:MF, GO:CC, GO:BP	
9031	Gallus gallus	Chicken (maternal Broiler)	ggallus	bGalGal1.mat.broiler.GRCg7b	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	
69293	Gasterosteus aculeatus	Stickleback	gaculeatus	BROAD S1	GO:MF, GO:CC, GO:BP, HP	
48883	Geospiza fortis	Medium ground-finch	gfortis	GeoFor_1.0	GO:MF, GO:CC, GO:BP, HP	
184922	Giardia lamblia ATCC 50803	Giardia lamblia	glamblia	GL2	GO:MF, GO:CC, GO:BP, KEGG	
1735272	Gigantopelta aegis	Gigantopelta aegis (Deep sea snail, Gae_Host) - GCA_016097555.1	gagca016097555v1	Gae_host_genome	GO:MF, GO:CC, GO:BP	
1223557	Globisporangium irregulare DAOM BR486	Pythium irregulare	pirregulare	pir_scaffolds_v1	GO:MF, GO:CC, GO:BP	
1223558	Globisporangium iwayamae DAOM BR242034	Pythium iwayamai	piwayamai	piw_scaffolds_v1	GO:MF, GO:CC, GO:BP	
431595	Globisporangium ultimum DAOM BR144	Globisporangium ultimum	gultimum	GCA000143045v1	GO:MF, GO:CC, GO:BP	
431595	Globisporangium ultimum DAOM BR144	Pythium ultimum	pultimum	pug	GO:MF, GO:CC, GO:BP	
36090	Globodera pallida	Globodera pallida (PRJEB123)	glpallprjeb123	GPAL001 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	
31243	Globodera rostochiensis	Globodera rostochiensis (L19PRJNA695196)	l19prjna695196	WUR_GloGros_L19 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	
31243	Globodera rostochiensis	Globodera rostochiensis (L22 PRJNA695196)	l22prjna695196	WUR_GloGros_L22 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	
31243	Globodera rostochiensis	Globodera rostochiensis (PRJEB13504)	glrostprjeb13504	nGr (2016-09-WormBase)	GO:MF, GO:CC, GO:BP	
7395	Glossina austeni	Glossina austeni	gausteni	GausT1	GO:MF, GO:CC, GO:BP	
37001	Glossina brevipalpis	Glossina brevipalpis	gbrevipalpis	GbreI1	GO:MF, GO:CC, GO:BP	
7396	Glossina fuscipes	Glossina fuscipes (IAEA_lab_2018)	gfuscipes	Yale_Gfus_2	GO:MF, GO:CC, GO:BP	
37546	Glossina morsitans morsitans	Glossina morsitans	gmorsitans	GmorY1	GO:MF, GO:CC, GO:BP	
7398	Glossina pallidipes	Glossina pallidipes	gpallidipes	GpalI1	GO:MF, GO:CC, GO:BP	
67801	Glossina palpalis gambiensis	Glossina palpalis	gpalpalis	GpapI1	GO:MF, GO:CC, GO:BP	
3847	Glycine max	Glycine max	gmax	Glycine_max_v2.1	GO:MF, GO:CC, GO:BP, KEGG	
637853	Gongylonema pulchrum	Gongylonema pulchrum (PRJEB505)	gopulcprjeb505	G_pulchrum_Hokkaido_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
1825980	Gopherus evgoodei	Goodes thornscrub tortoise	gevgoodei	rGopEvg1_v1.p	GO:MF, GO:CC, GO:BP, HP	
9595	Gorilla gorilla gorilla	Gorilla	ggorilla	gorGor4	GO:MF, GO:CC, GO:BP, KEGG, HP	
29730	Gossypium raimondii	Gossypium raimondii	graimondii	Graimondii2_0_v6	GO:MF, GO:CC, GO:BP, KEGG	
905079	Guillardia theta CCMP2712	Guillardia theta CCMP2712	gtheta	Guith1	GO:MF, GO:CC, GO:BP, KEGG	
82660	Gyrodactylus bullatarudis	Gyrodactylus bullatarudis (PRJNA532341)	gybullprjna532341	ASM1206441v1 (2022-02-WormBase)	GO:MF, GO:CC, GO:BP	
37629	Gyrodactylus salaris	Gyrodactylus salaris (PRJNA244375)	gysalaprjna244375	Gsalaris_v1 (2016-09-WormBase)	GO:MF, GO:CC, GO:BP	
44386	Haemaphysalis longicornis	Haemaphysalis longicornis (HaeL-2018)	hlgca013339765v1	GCA013339765v1	GO:MF, GO:CC, GO:BP	
6289	Haemonchus contortus	Haemonchus contortus (PRJEB506)	hacontprjeb506	haemonchus_contortus_MHCO3ISE_4.0 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	
6289	Haemonchus contortus	Haemonchus contortus (PRJNA205202)	hacontprjna205202	Hco_v4_coding_submitted (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	
6290	Haemonchus placei	Haemonchus placei (PRJEB509)	haplacprjeb509	H_placei_MHpl1_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
2598192	Halicephalobus sp. NKZ332	Halicephalobus nkz332 (PRJNA555616)	hankz3prjna555616	ASM976126v1 (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	
703951	Halicephalobus sp. WB-2010a	Halicephalobus mephisto (PRJNA528747)	hamephprjna528747	SWDT01000000 (2019-05-WormBase)	GO:MF, GO:CC, GO:BP	
8153	Haplochromis burtoni	Burton's mouthbrooder	hburtoni	AstBur1.0	GO:MF, GO:CC, GO:BP, HP	
4232	Helianthus annuus	Helianthus annuus	hannuus	HanXRQr2.0-SUNRISE	GO:MF, GO:CC, GO:BP, KEGG	
34740	Heliconius melpomene	Heliconius melpomene	hmelpomene	Hmel1	GO:MF, GO:CC, GO:BP	
6339	Heligmosomoides polygyrus	Heligmosomoides polygyrus (PRJEB1203)	hepolyprjeb1203	H_bakeri_Edinburgh_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
6339	Heligmosomoides polygyrus	Heligmosomoides polygyrus (PRJEB15396)	hepolyprjeb15396	nHp_v2.0 (2016-09-WormBase)	GO:MF, GO:CC, GO:BP	
6412	Helobdella robusta	Helobdella robusta	hrobusta	Helro1	GO:MF, GO:CC, GO:BP, KEGG	
343691	Hermetia illucens	Hermetia illucens (Black soldier fly) - GCA_905115235.1	higca905115235v1	GCA905115235v1	GO:MF, GO:CC, GO:BP	
10181	Heterocephalus glaber	Naked mole-rat female	hgfemale	HetGla_female_1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
51029	Heterodera glycines	Heterodera glycines (PRJNA381081)	heglycprjna381081	ASM414822v2 (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	
97005	Heterodera schachtii	Heterodera schachtii (PRJNA722882)	heschaprjna722882	Hsch_Bonn_V1.0 (2021-10-WormBase)	GO:MF, GO:CC, GO:BP	
37862	Heterorhabditis bacteriophora	Heterorhabditis bacteriophora (PRJNA13977)	hebactprjna13977	Heterorhabditis_bacteriophora-7.0 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	
109280	Hippocampus comes	Tiger tail seahorse	hcomes	H_comes_QL1_v1	GO:MF, GO:CC, GO:BP, KEGG, HP	
5037	Histoplasma capsulatum	Histoplasma capsulatum	hcapsulatum	GCA000170615v1	GO:MF, GO:CC, GO:BP	
442651	Hofstenia miamia	Hofstenia miamia	hmiamia	HmiaM1	GO:MF, GO:CC, GO:BP	
9606	Homo sapiens	Human	hsapiens	GRCh38.p13	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HPA, CORUM, HP, WP	
112509	Hordeum vulgare subsp. vulgare	Hordeum vulgare GoldenPromise	hvgoldenpromise	GPv1	GO:MF, GO:CC, GO:BP	
112509	Hordeum vulgare subsp. vulgare	Hordeum vulgare	hvulgare	MorexV3_pseudomolecules_assembly	GO:MF, GO:CC, GO:BP	
112509	Hordeum vulgare subsp. vulgare	Hordeum vulgare TRITEX	hvtritex	Morex_V2_scaf	GO:MF, GO:CC, GO:BP	
62062	Hucho hucho	Huchen	hhucho	ASM331708v1	GO:MF, GO:CC, GO:BP, HP	
266040	Hyalomma asiaticum	Hyalomma asiaticum (Hyas-2018)	hagca013339685v1	GCA013339685v1	GO:MF, GO:CC, GO:BP	
559515	Hyaloperonospora arabidopsidis Emoy2	Hyaloperonospora arabidopsidis	harabidopsidis	HyaAraEmoy2_2.0	GO:MF, GO:CC, GO:BP	
6205	Hydatigera taeniaeformis	Hydatigera taeniaeformis (PRJEB534)	hytaenprjeb534	H_taeniaeformis_Canary_Islands_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
6087	Hydra vulgaris	Hydra vulgaris (Swiftwater hydra, 105) - GCA_000004095.1	hvgca000004095v1	GCA000004095v1	GO:MF, GO:CC, GO:BP	
6216	Hymenolepis diminuta	Hymenolepis diminuta (PRJEB30942)	hydimiprjeb30942	H.diminuta_WMSil1 (2020-04-WormBase)	GO:MF, GO:CC, GO:BP	
6216	Hymenolepis diminuta	Hymenolepis diminuta (PRJEB507)	hydimiprjeb507	H_diminuta_Denmark_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	
85433	Hymenolepis microstoma	Hymenolepis microstoma (PRJEB124)	hmicrostoma	HMN_v3	GO:MF, GO:CC, GO:BP	
85433	Hymenolepis microstoma	Hymenolepis microstoma (PRJEB124)	hymicrprjeb124	HMN_v3 (2018-10-WormBase)	GO:MF, GO:CC, GO:BP	
7998	Ictalurus punctatus	Channel catfish	ipunctatus	IpCoco_1.2	GO:MF, GO:CC, GO:BP, KEGG, HP	
43179	Ictidomys tridecemlineatus	Squirrel	itridecemlineatus	SpeTri2.0	GO:MF, GO:CC, GO:BP, HP	
35885	Ipomoea triloba	Ipomoea triloba	itriloba	ASM357664v1	GO:MF, GO:CC, GO:BP	
34615	Ixodes persulcatus	Ixodes persulcatus (Iper-2018)	ipgca013358835v1	BIME_Iper_1.3	GO:MF, GO:CC, GO:BP	
6945	Ixodes scapularis	Ixodes scapularis (ISE6)	isise6	IscaI1	GO:MF, GO:CC, GO:BP, KEGG	
6945	Ixodes scapularis	Ixodes scapularis	iscapularis	IscaW1	GO:MF, GO:CC, GO:BP, KEGG	
6945	Ixodes scapularis	Ixodes scapularis (PalLabHiFi)	isgca016920785v2	GCA016920785v2	GO:MF, GO:CC, GO:BP	
51337	Jaculus jaculus	Lesser Egyptian jerboa	jjaculus	JacJac1.0	GO:MF, GO:CC, GO:BP, HP	
51240	Juglans regia	Juglans regia	jregia	Walnut_2.0	GO:MF, GO:CC, GO:BP	
63787	Kalanchoe fedtschenkoi	Kalanchoe fedtschenkoi	kfedtschenkoi	K_fedtschenkoi_M2_v1	GO:MF, GO:CC, GO:BP	
644223	Komagataella phaffii GS115	Komagataella pastoris	kpastoris	ASM2700v1	GO:MF, GO:CC, GO:BP, KEGG	
37003	Kryptolebias marmoratus	Mangrove rivulus	kmarmoratus	ASM164957v1	GO:MF, GO:CC, GO:BP, HP	
56723	Labrus bergylta	Ballan wrasse	lbergylta	BallGen_V1	GO:MF, GO:CC, GO:BP, HP	
4236	Lactuca sativa	Lactuca sativa	lsativa	Lsat_Salinas_v7	GO:MF, GO:CC, GO:BP	
215358	Larimichthys crocea	Large yellow croaker	lcrocea	L_crocea_2.0	GO:MF, GO:CC, GO:BP, KEGG, HP	
8187	Lates calcarifer	Barramundi perch	lcalcarifer	ASB_HGAPassembly_v1	GO:MF, GO:CC, GO:BP, KEGG, HP	
8630	Laticauda laticaudata	Blue-ringed sea krait	llaticaudata	latLat_1.0	GO:MF, GO:CC, GO:BP, HP	
